fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	early_stopping_rounds	force_row_wise	max_bin	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211128 010634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	299.2	293	TRUE	14	0.0430030157433357	0.132025890315417	167	893	71.5795095227659	0.694928579273168	10	0.0359050320939302	6657000	5817000	0.0334663955210765	6651250	5601250	12
20211128 012101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	491.7	353	TRUE	43	0.0260967938706744	0.66969476528815	135	213	73.7309217117727	0.134229563086061	10	0.0382491024578846	6946875	6086875	0.0429815972483744	7030000	6480000	13
20211128 021948	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	203	248	TRUE	174	0.0829500707169064	0.744960959302261	35	5930	87.3210742799565	0.967471746494411	10	0.0376884001573314	6420625	5680625	0.0349811286016754	6425000	5625000	14
20211128 024208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	131.8	222	TRUE	205	0.176677698378684	0.994940195104573	102	1027	76.5355077143759	0.48823431065504	10	0.0371762362648858	6312125	5282125	0.0361527453491	6350000	5600000	15
20211128 025832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1223.2	226	TRUE	64	0.150549991466338	0.377250761598116	12914	2	27.4791415100917	0.0331826040453743	10	0.0351560342446838	5563875	4838875	0.0321943544810156	5391250	4891250	16
20211128 031405	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	833.5	227	TRUE	251	0.14381645635725	0.517229261435568	17938	7	23.9407510571182	0.612066735040746	10	0.0383160519863088	6381875	5731875	0.0347216991790314	6213750	5863750	17
20211128 032051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	121.6	221	TRUE	29	0.189629695420852	0.311785514620133	436	445	61.9717918317765	0.903734128321055	10	0.0370917124852502	6474750	5604750	0.0345878001221829	6733750	6033750	18
20211128 033419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	172.8	231	TRUE	146	0.127021803386742	0.21492372108507	31	2368	88.3219049889594	0.342202430946287	10	0.0377846401044413	6236250	5301250	0.0354330379185392	6307500	5407500	19
20211128 034903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1028.9	273	TRUE	107	0.0543801362463273	0.867619167222874	6994	23	33.9013037513942	0.735967202944215	10	0.0385989137439013	6629625	5494625	0.0411823286719724	6548750	5448750	20
20211128 040616	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	872.6	398	TRUE	32	0.0201122204664855	0.747812321989585	250	136	67.5483611126465	0.158205673697721	10	0.0375528273622723	6930875	6335875	0.03281363761894	6748750	6148750	21
20211128 041914	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	555.2	303	TRUE	77	0.0387745905368199	0.671563978213225	119	133	74.9423901455943	0.0737301312169732	10	0.0402341559756638	7055375	6095375	0.0407890001924799	7107500	6207500	22
20211128 042917	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	212.8	267	TRUE	26	0.059212144051639	0.548806759946416	123	288	74.6237910181773	0.165106055234956	10	0.0401697170545555	6720000	5990000	0.0385796657544793	6837500	6437500	23
20211128 043729	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	255.6	292	TRUE	13	0.0434204125142414	0.966043535013705	131	238	74.0143798920745	0.145229372660914	10	0.0384591566033157	6765500	5850500	0.0424794757851924	6755000	6255000	24
20211128 045614	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	483.3	330	TRUE	109	0.0307677926531786	0.502733907046657	137	228	73.5752607639809	0.145826056659278	10	0.0390935033851355	6960750	6130750	0.0362448009506833	6936250	6086250	25
20211128 050843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	279.8	283	TRUE	46	0.0479227881150139	0.682989172810985	136	359	73.6432233068603	0.227471540340671	10	0.0366557036813872	6909875	5829875	0.0352991388616906	6977500	5977500	26
20211128 052147	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	353.7	314	TRUE	21	0.0350207168488995	0.536780226977247	116	227	75.1823251613264	0.12297131310316	10	0.0403814449381972	6883375	6013375	0.0380189634539262	7021250	6221250	27
20211128 053352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	309.2	275	TRUE	49	0.0528714817929298	0.489417446528809	131	252	74.0119610751583	0.153860881362418	10	0.0413455181475065	6984375	5914375	0.0397178077376917	7117500	6167500	28
20211128 054438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	527.8	370	TRUE	12	0.0233941178213888	0.846810337649875	127	142	74.3318688651389	0.0842502026018962	10	0.038978852317709	6867875	5932875	0.0373494681696836	6721250	6021250	29
20211128 060615	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	643.6	346	TRUE	56	0.027340493900805	0.874178827099693	85	315	78.3323241472848	0.124663934581955	10	0.0408149431347443	6893625	5948625	0.0459106391169357	6892500	6042500	30
20211128 061335	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	188.4	252	TRUE	17	0.0765682090769938	0.65895992595466	120	284	74.9149544558255	0.15862715780183	10	0.0367661704032872	6733375	5688375	0.0312319550099169	6935000	5885000	31
20211128 062408	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	418.4	272	TRUE	25	0.0549933833494378	0.648913343316886	123	229	74.618288974013	0.131259222774273	10	0.0403471333048798	6838500	5983500	0.0406885758998435	6922500	6372500	32
20211128 063919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	561.9	350	TRUE	48	0.0266133604317238	0.607306097388618	164	135	71.7297440435058	0.103038875338755	10	0.0402818575146661	6983250	6208250	0.0404458838593056	7058750	6158750	33
