fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	early_stopping_rounds	force_row_wise	max_bin	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211127 233441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	230	TRUE	208	0.132032610804774	0.775729331166949	53	1040	127217	83.0561747867614	0.256982645514072	127217	7	141	5996	0.0501786715539822	6105000	5155000	4101	0.0343200020084859	6473750	5523750	6
20211127 233657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	230	TRUE	208	0.132032610804774	0.775729331166949	53	1040	464371	83.0561747867614	0.256982645514072	464371	8	92	4513	0.0377679027223352	6158750	5758750	4049	0.0338848300737282	6638750	5888750	6
20211127 233927	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	230	TRUE	208	0.132032610804774	0.775729331166949	53	1040	645137	83.0561747867614	0.256982645514072	645137	9	174	4437	0.0371318822023047	6703750	5553750	4023	0.0336672441063493	6671250	5771250	6
20211127 234145	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	230	TRUE	208	0.132032610804774	0.775729331166949	53	1040	480803	83.0561747867614	0.256982645514072	480803	10	97	5010	0.0419271421756923	6087500	5437500	4129	0.0345543253579708	6538750	5738750	6
20211127 234231	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	234	TRUE	140	0.117281335159903	0.347320319341961	1498	116	378821	49.5754234660417	0.805106986850267	378821	1	140	4937	0.0413162277288209	7028750	5728750	4937	0.0413162277288209	7028750	5728750	7
20211127 234308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	234	TRUE	140	0.117281335159903	0.347320319341961	1498	116	964333	49.5754234660417	0.805106986850267	964333	2	118	5015	0.0419689856309575	6931250	6031250	4852	0.0406048889893132	6985000	6085000	7
20211127 234350	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	234	TRUE	140	0.117281335159903	0.347320319341961	1498	116	187049	49.5754234660417	0.805106986850267	187049	3	173	3733	0.0312403237009699	6883750	5733750	4778	0.0399856058513888	7027500	6077500	7
20211127 234454	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	234	TRUE	140	0.117281335159903	0.347320319341961	1498	116	205151	49.5754234660417	0.805106986850267	205151	4	376	4265	0.0356924673411832	6718750	5518750	4438	0.0371402508933578	6902500	5902500	7
20211127 234545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	234	TRUE	140	0.117281335159903	0.347320319341961	1498	116	813697	49.5754234660417	0.805106986850267	813697	5	244	4531	0.0379185391612898	6636250	5636250	4213	0.0352572954064255	6933750	6033750	7
20211127 234624	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	234	TRUE	140	0.117281335159903	0.347320319341961	1498	116	344719	49.5754234660417	0.805106986850267	344719	6	141	3847	0.0321943544810156	6641250	6041250	4042	0.0338262492363569	6847500	5997500	7
20211127 234716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	234	TRUE	140	0.117281335159903	0.347320319341961	1498	116	127217	49.5754234660417	0.805106986850267	127217	7	254	3940	0.0329726427489476	6625000	5575000	4452	0.0372574125681002	6835000	5985000	7
20211127 234756	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	234	TRUE	140	0.117281335159903	0.347320319341961	1498	116	464371	49.5754234660417	0.805106986850267	464371	8	155	4499	0.0376507410475927	6376250	5876250	4650	0.0389144133966006	6837500	5987500	7
20211127 234835	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	234	TRUE	140	0.117281335159903	0.347320319341961	1498	116	645137	49.5754234660417	0.805106986850267	645137	9	135	4032	0.0337425623258266	6760000	5760000	3716	0.0310980559530684	6805000	5855000	7
20211127 234912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	234	TRUE	140	0.117281335159903	0.347320319341961	1498	116	480803	49.5754234660417	0.805106986850267	480803	10	127	4688	0.0392324236566159	6840000	6240000	3731	0.0312235863188639	6886250	5786250	7
20211127 235310	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	225	TRUE	234	0.159452230616007	0.491142090448411	21	8816	378821	92.5425254842266	0.863011464760639	378821	1	397	4495	0.0376172662833806	6331250	5531250	4495	0.0376172662833806	6331250	5531250	8
20211127 235603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	225	TRUE	234	0.159452230616007	0.491142090448411	21	8816	964333	92.5425254842266	0.863011464760639	964333	2	40	4823	0.0403621969487752	5921250	5571250	4743	0.0396927016645326	6171250	5971250	8
20211127 235955	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	225	TRUE	234	0.159452230616007	0.491142090448411	21	8816	187049	92.5425254842266	0.863011464760639	187049	3	508	3840	0.0321357736436444	6300000	5550000	4227	0.0353744570811679	6316250	5816250	8
20211128 000329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	225	TRUE	234	0.159452230616007	0.491142090448411	21	8816	205151	92.5425254842266	0.863011464760639	205151	4	298	4978	0.0416593440619953	6327500	5527500	4134	0.0345961688132359	6282500	5532500	8
20211128 000626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	225	TRUE	234	0.159452230616007	0.491142090448411	21	8816	813697	92.5425254842266	0.863011464760639	813697	5	72	4156	0.0347802800164026	6155000	5755000	4351	0.036412174771744	6361250	5811250	8
20211128 000933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	225	TRUE	234	0.159452230616007	0.491142090448411	21	8816	344719	92.5425254842266	0.863011464760639	344719	6	162	3665	0.0306712527093637	6068750	5268750	4626	0.0387135648113279	6367500	5867500	8
20211128 001321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	225	TRUE	234	0.159452230616007	0.491142090448411	21	8816	127217	92.5425254842266	0.863011464760639	127217	7	434	4435	0.0371151448201987	6256250	5806250	4946	0.0413915459482982	6267500	6067500	8
20211128 001757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	225	TRUE	234	0.159452230616007	0.491142090448411	21	8816	464371	92.5425254842266	0.863011464760639	464371	8	926	4546	0.0380440695270853	6367500	5567500	4752	0.0397680198840099	6360000	5860000	8
20211128 002127	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	225	TRUE	234	0.159452230616007	0.491142090448411	21	8816	645137	92.5425254842266	0.863011464760639	645137	9	358	4854	0.0406216263714192	6382500	5982500	4714	0.0394500096239947	6507500	5807500	8
