fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211127 225043	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	964333	35.4673616588116	0.41958289853661	964333	2	173	4776	0.0399688684692827	6480000	6080000	4185	0.0350229720569406	6468750	5768750	5
20211127 225153	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	187049	35.4673616588116	0.41958289853661	187049	3	653	4000	0.0334747642121296	6600000	5850000	4437	0.0371318822023047	6403750	5653750	5
20211127 225251	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	205151	35.4673616588116	0.41958289853661	205151	4	507	4905	0.0410484296151239	6668750	5768750	4131	0.0345710627400768	6586250	5736250	5
20211127 225356	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	813697	35.4673616588116	0.41958289853661	813697	5	597	3237	0.0270894529386659	6453750	5553750	3681	0.0308051517662122	6448750	5698750	5
20211127 225501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	344719	35.4673616588116	0.41958289853661	344719	6	603	4673	0.0391068932908204	6758750	5858750	3653	0.0305708284167273	6483750	5783750	5
20211127 225550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	127217	35.4673616588116	0.41958289853661	127217	7	390	4840	0.0405044646966768	6400000	6e+06	5157	0.0431573397604881	6453750	5853750	5
20211127 225621	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	464371	35.4673616588116	0.41958289853661	464371	8	152	5224	0.0437180420610412	6420000	5820000	5028	0.0420777786146469	6415000	5915000	5
20211127 225738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	645137	35.4673616588116	0.41958289853661	645137	9	756	4226	0.0353660883901149	6617500	5667500	4833	0.0404458838593056	6458750	5658750	5
20211127 225824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	480803	35.4673616588116	0.41958289853661	480803	10	354	3871	0.0323952030662884	6561250	6061250	4583	0.0383537110960475	6471250	5621250	5
20211127 230105	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	378821	99.1225444432348	0.925224460883182	378821	1	495	4409	0.0368975588528198	6438750	5488750	4409	0.0368975588528198	6438750	5488750	6
20211127 230310	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	964333	99.1225444432348	0.925224460883182	964333	2	110	4450	0.0372406751859942	6237500	5737500	4138	0.034629643577448	6327500	5677500	6
20211127 230506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	187049	99.1225444432348	0.925224460883182	187049	3	66	4611	0.0385880344455324	6286250	4986250	5087	0.0425715313867758	6391250	5641250	6
20211127 230758	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	205151	99.1225444432348	0.925224460883182	205151	4	602	4575	0.0382867615676232	6631250	5581250	4447	0.0372155691128351	6541250	5141250	6
20211127 231042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	813697	99.1225444432348	0.925224460883182	813697	5	529	4477	0.037466629844426	6203750	5303750	4915	0.0411321165256542	6556250	5406250	6
20211127 231241	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	344719	99.1225444432348	0.925224460883182	344719	6	73	3734	0.031248692392023	6332500	5032500	4847	0.040563045534048	6441250	5191250	6
20211127 231448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	127217	99.1225444432348	0.925224460883182	127217	7	143	4918	0.0411572225988133	6202500	5652500	5209	0.0435925116952457	6338750	5338750	6
20211127 231701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	464371	99.1225444432348	0.925224460883182	464371	8	214	4362	0.0365042303733273	6297500	5247500	4007	0.0335333450495008	6391250	5491250	6
20211127 231901	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	645137	99.1225444432348	0.925224460883182	645137	9	93	5255	0.0439774714836852	6281250	5031250	3873	0.0324119404483945	6408750	5508750	6
20211127 232142	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	480803	99.1225444432348	0.925224460883182	480803	10	500	4557	0.0381361251286686	6653750	5353750	3770	0.0315499652699321	6387500	5487500	6
20211127 232339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	378821	69.4358978548553	0.955571887505503	378821	1	281	3768	0.0315332278878261	6640000	5840000	3768	0.0315332278878261	6640000	5840000	7
20211127 232606	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	964333	69.4358978548553	0.955571887505503	964333	2	437	5949	0.0497853430744897	6563750	6063750	4999	0.0418350865741089	6551250	6101250	7
20211127 232745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	187049	69.4358978548553	0.955571887505503	187049	3	197	3739	0.0312905358472881	6726250	5776250	4477	0.037466629844426	6553750	6053750	7
20211127 232943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	205151	69.4358978548553	0.955571887505503	205151	4	291	4067	0.0340354665126828	6916250	5916250	4424	0.0370230892186153	6620000	5820000	7
20211127 233124	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	813697	69.4358978548553	0.955571887505503	813697	5	209	5622	0.0470487811001481	6972500	5922500	4382	0.036671604194388	6772500	5822500	7
20211127 233332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	344719	69.4358978548553	0.955571887505503	344719	6	348	4381	0.0366632355033349	6923750	5923750	4353	0.03642891215385	6758750	5908750	7
20211127 233501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	127217	69.4358978548553	0.955571887505503	127217	7	154	5101	0.0426886930615182	6823750	6323750	3952	0.033073067041584	6660000	5810000	7
